game_id,season,week,gameday,team,opponent,points_for,points_against,rest_days,is_home,win,offensive_plays,off_epa_per_play,pass_plays,rush_plays,interceptions_thrown,fumbles_lost,pass_rate,turnovers,point_diff,prev_points_for,prev_points_against,prev_win,prev_off_epa_per_play,prev_turnovers,prev_point_diff,rolling_points_for_3,rolling_points_against_3,rolling_win_pct_3,rolling_off_epa_3,rolling_turnovers_3,rolling_point_diff_3,opp_rolling_points_for_3,opp_rolling_points_against_3,opp_rolling_win_pct_3,opp_rolling_off_epa_3,opp_rolling_turnovers_3,opp_rolling_point_diff_3,epa_diff_3,win_pct_diff_3,turnover_diff_3,point_diff_gap_3
2025_04_CHI_LV,2025,4,2025-09-28,CHI,LV,25,24,7,0,1,64,-0.12057133318733107,39,25,1,0,0.609375,1,1,31,14,1,0.3017187412359374,0,17,25.333333333333332,31.0,0.3333333333333333,0.021454880623718253,1.0,-5.666666666666667,17.666666666666668,24.666666666666668,0.3333333333333333,-0.07740743955180944,1.3333333333333333,-7.0,0.0988623201755277,0.0,-0.33333333333333326,1.333333333333333
2025_06_CHI_WAS,2025,6,2025-10-13,CHI,WAS,25,24,15,0,1,59,0.16552726067451567,33,26,0,0,0.559322033898305,0,1,25,24,1,-0.12057133318733107,1,1,25.666666666666668,30.0,0.6666666666666666,0.005061507235018775,1.0,-4.333333333333333,31.666666666666668,22.666666666666668,0.6666666666666666,0.22217653581857444,1.0,9.0,-0.21711502858355566,0.0,0.0,-13.333333333333332
2025_07_NO_CHI,2025,7,2025-10-19,CHI,NO,26,14,6,1,1,65,0.09379912528868677,27,38,1,0,0.4153846153846154,1,12,25,24,1,0.16552726067451567,0,1,27.0,20.666666666666668,1.0,0.11555822290770734,0.3333333333333333,6.333333333333333,21.333333333333332,23.333333333333332,0.3333333333333333,-0.028781291829704986,0.6666666666666666,-2.0,0.14433951473741233,0.6666666666666667,-0.3333333333333333,8.333333333333332
2025_08_CHI_BAL,2025,8,2025-10-26,CHI,BAL,16,30,7,0,0,62,0.024400010712218322,39,23,1,0,0.6290322580645161,1,-14,26,14,1,0.09379912528868677,1,12,25.333333333333332,20.666666666666668,1.0,0.046251684258623804,0.6666666666666666,4.666666666666667,11.0,32.666666666666664,0.0,-0.24344576779850638,2.6666666666666665,-21.666666666666668,0.28969745205713016,1.0,-2.0,26.333333333333336
2025_09_CHI_CIN,2025,9,2025-11-02,CHI,CIN,47,42,7,0,1,77,0.4531389842597489,40,37,0,0,0.5194805194805194,0,5,16,30,0,0.024400010712218322,1,-14,22.333333333333332,22.666666666666668,0.6666666666666666,0.09457546555847358,0.6666666666666666,-0.3333333333333333,29.666666666666668,32.333333333333336,0.3333333333333333,0.22895439535301457,0.0,-2.6666666666666665,-0.13437892979454097,0.3333333333333333,0.6666666666666666,2.333333333333333
2025_10_NYG_CHI,2025,10,2025-11-09,CHI,NYG,24,20,7,1,1,62,0.026302652246660178,36,26,0,0,0.5806451612903226,0,4,47,42,1,0.4531389842597489,0,5,29.666666666666668,28.666666666666668,0.6666666666666666,0.19044604008688468,0.6666666666666666,1.0,25.333333333333332,35.0,0.0,0.1276743025871811,0.3333333333333333,-9.666666666666666,0.06277173749970358,0.6666666666666666,0.3333333333333333,10.666666666666666
2025_11_CHI_MIN,2025,11,2025-11-16,CHI,MIN,19,17,7,0,1,73,-0.04758441524946868,34,39,0,0,0.4657534246575342,0,2,24,20,1,0.026302652246660178,0,4,29.0,30.666666666666668,0.6666666666666666,0.1679472157395425,0.3333333333333333,-1.6666666666666667,18.666666666666668,29.333333333333332,0.3333333333333333,-0.20211401321215927,1.3333333333333333,-10.666666666666666,0.3700612289517018,0.3333333333333333,-1.0,9.0
2025_12_PIT_CHI,2025,12,2025-11-23,CHI,PIT,31,28,7,1,1,59,0.01378506184961941,35,24,0,2,0.5932203389830508,2,3,19,17,1,-0.04758441524946868,0,2,30.0,26.333333333333332,1.0,0.14395240708564683,0.0,3.6666666666666665,23.666666666666668,19.0,0.6666666666666666,-0.0969367761162897,1.0,4.666666666666667,0.24088918320193653,0.33333333333333337,-1.0,-1.0000000000000004
2025_13_CHI_PHI,2025,13,2025-11-28,CHI,PHI,24,15,5,0,1,84,0.04194522476468253,38,46,1,0,0.4523809523809524,1,9,31,28,1,0.01378506184961941,2,3,24.666666666666668,21.666666666666668,1.0,-0.0024989003843963443,0.6666666666666666,3.0,15.666666666666666,13.333333333333334,0.6666666666666666,-0.08190233029100856,0.6666666666666666,2.3333333333333335,0.07940342990661221,0.33333333333333337,0.0,0.6666666666666665
2025_14_CHI_GB,2025,14,2025-12-07,CHI,GB,21,28,9,0,0,69,0.10808021202559331,36,33,1,0,0.5217391304347826,1,-7,24,15,1,0.04194522476468253,1,9,24.666666666666668,20.0,1.0,0.0027152904549444384,1.0,4.666666666666667,27.0,16.666666666666668,1.0,0.22096128563814935,0.0,10.333333333333334,-0.21824599518320492,0.0,1.0,-5.666666666666667
